ua,nl_correct,nl_wrong1,nl_wrong2
друг,de vriend,de portemonnee,de ijs
кров,het bloed,de vis,het bedrijf
паста,de pasta,de eiland,het vuur
штани,de broek,het centrum,de groente
рік,het jaar,het onderwerp,de pen
рис,de rijst,de dokter,de stad
груша,de peer,de bier,de snoep
четвер,de donderdag,de wijk,het jaar
п’ятниця,de vrijdag,de opa,de bakker
комп’ютер,de computer,de school,het schilderij
книга,het boek,de nacht,de hemel
светр,de trui,de bakkerij,de wijk
донька,de dochter,de tomaat,de maan
цукерки,de snoep,de buurman,de ui
природа,de natuur,de groente,de eiland
район,de wijk,het kind,het hoofd
офіціант,de ober,de ziekenhuis,het schilderij
офіс,de kantoor,de trein,de auto
овочі,de groente,het gezin,het lichaam
морква,de wortel,de sinaasappel,de zomer
море,de zee,de slager,het schip
олівець,de potlood,de haven,het ontbijt
син,de zoon,de kok,de herfst
двері,de deur,de kantoor,de middag
музей,het museum,de rijbewijs,de voorbeeld
весна,de lente,de avond,de zon
сонце,de zon,de arts,de donderdag
молоко,de melk,het meisje,de rijst
дощ,de regen,het licht,de bakkerij
пам'ять,het geheugen,de tablet,het bloed
архітектор,de architect,de fabriek,de dag
ліс,de bos,de rijbewijs,het niveau
книжкова шафа,de boekenkast,de muur,de aarde
око,het oog,de docent,de olie
будинок,het huis,het lichaam,het ontbijt
порт,de haven,de serveerster,het probleem
наручний годинник,het horloge,de oma,het geld
сім'я,het gezin,de taart,het broodje
день,de dag,de schoen,de raam
місто,de stad,de maand,het oog
дитина,het kind,het dier,de schoen
клімат,het klimaat,het weer,de winter
часник,de knoflook,de donderdag,de wind
планшет,de tablet,de kantoor,de dochter
програма,het programma,de portemonnee,de wolk
офіс,de kantoor,de bed,het afval
вчитель,de leraar,het geheim,de bier
супермаркет,de supermarkt,de rok,de bakkerij
осінь,de herfst,de vrijdag,de eiland
стіна,de muur,de ziekenhuis,de bed
собака,de hond,de ochtend,het geld
водійські права,de rijbewijs,de ster,de middag
кухня,de keuken,het probleem,de knoflook
проблема,het probleem,de taart,het wapen
голова,het hoofd,de appel,de familie
подарунок,het cadeau,de vriend,de tomaat
острів,de eiland,de boekenkast,de paprika
парк,de park,het gebied,de trein
область,het gebied,het meisje,de saus
площа,de plein,de winkel,het nieuws
сусідка,de buurvrouw,de eiland,het niveau
сіль,de zout,het gezicht,de middag
торт,de taart,de fabriek,het programma
сестра,de zus,de stoel,de winkel
середа,de woensdag,het gezin,de telefoon
сніг,de sneeuw,het afval,het jaar
слово,de woord,het ongeluk,de trui
станція,het station,de wind,de sinaasappel
лікарня,de ziekenhuis,het geheim,de winter
вітер,de wind,de vis,de vader
чоловік,de man,de zee,de architect
лід,de ijs,de wortel,de rijst
спідниця,de rok,het broodje,de kantoor
секрет,het geheim,het brood,het adres
човен,de boot,de pasta,de vloer
аеропорт,de luchthaven,de metro,de leraar
номер,het nummer,de nacht,de broer
ноутбук,de laptop,de kamer,de paprika
кава,de koffie,de water,de woensdag
розмова,het gesprek,de sok,de bakkerij
мама,de moeder,de stad,de knoflook
підлога,de vloer,het hotel,de slagerij
викладач,de docent,het ontbijt,de woensdag
острів,de eiland,de vlees,de vader
стілець,de stoel,de stad,het brood
центр,het centrum,het ontbijt,de chocolade
шоколад,de chocolade,de maand,de dochter
будівля,het gebouw,het museum,het gebied
сніданок,het ontbijt,de rijst,de bus
масло,de boter,de vliegveld,de kast
ліки,het geneesmiddel,het klimaat,de broek
вечір,de avond,het hoofd,de auto
субота,de zaterdag,de kantoor,de brug
транспортний засіб,het voertuig,de kamer,de dochter
зірка,de ster,de strand,de winter
день,de middag,de maandag,de metro
птах,de vogel,de zus,het onderwerp
огірок,de komkommer,het centrum,de kaas
зброя,het wapen,de pizza,de banaan
тиждень,de week,de wind,de groente
сусідство,de buurt,het afval,de zout
автомобіль,de auto,de vis,de ui
перець,de peper,de buurt,de chocolade
місяць,de maan,de boekenkast,de vriendin
магазин,de winkel,de vrijdag,de restaurant
м'ясо,de vlees,de sleutel,de tuin
тема,het thema,de metro,de tomaat
шкарпетка,de sok,de brug,de boter
сусід,de buur,de aardappel,de meer
нога,het been,de deur,de maan
хлопчик,de jongen,het weer,de buurvrouw
вівторок,de dinsdag,het vuur,de architect
центр,het centrum,het boek,de banaan
пекарня,de bakkerij,het schilderij,de tafel
озеро,de meer,het museum,de thee
вогонь,het vuur,de rijbewijs,het centrum
ручка,de pen,de wortel,de keuken
час,de tijd,de rijst,de chocolade
паспорт,de paspoort,het schilderij,de kaart
кондуктор,de conducteur,de saus,de boekenkast
адреса,het adres,de universiteit,de klok
вухо,het oor,het afval,het jaar
туалет,de wc,de tijd,de man
куртка,de jas,de ober,het ongeluk
вулиця,de straat,de dorp,het probleem
дівчина,het meisje,de supermarkt,de vogel
окуляри,de bril,de raam,het geheim
автобус,de bus,de schoen,het uur
телефон,de telefoon,het oog,de dokter
ранок,de ochtend,het oog,de winter
годинник,de klok,de kamer,de voorbeeld
ресторан,de restaurant,de buur,de bril
яблуко,de appel,de tomaat,het boek
небо,de hemel,het lichaam,het schip
риба,de vis,de park,de vlees
тіло,het lichaam,de lucht,de wortel
готель,het hotel,de klok,de luchthaven
система,het systeem,de portemonnee,de zoon
земля,de aarde,de rok,de vader
вода,de water,de kok,de vlees
школа,de school,de wijk,de dochter
міст,de brug,de lamp,de vrijdag
